Frecuencia,Parte Real,Parte Imaginaria
0.000000,36484.326846,0.000000
0.013889,-978141.458776,-1099327.074854
0.027778,-17788.028381,-597229.214063
0.041667,-191733.426720,-770297.813785
0.055556,173770.364743,-77657.925250
0.069444,-60520.207472,246881.455319
0.083333,37618.488497,-194433.486313
0.097222,-177641.766735,-298858.144863
0.111111,293362.113270,-79641.357410
0.125000,-45287.859099,463021.585938
0.138889,-224980.377232,106735.292847
0.152778,322977.113992,-142829.612923
0.166667,216024.227616,-216503.072941
0.180556,-61686.842440,209450.753697
0.194444,-180590.295525,205047.685121
0.208333,-218764.273597,164855.641004
0.222222,266631.460646,102336.279656
0.236111,203156.513693,-116240.940886
0.250000,18634.589739,-227211.623973
0.263889,244332.468989,-199965.354140
0.277778,-199701.298540,-38153.563592
0.291667,-150163.368160,528229.482010
0.305556,-304729.673528,229365.473643
0.319444,83843.690263,-48713.588371
0.333333,36067.808736,124455.440752
0.347222,-28069.135910,-1389.090352
0.361111,-274236.520597,-127200.769427
0.375000,-92450.101256,58692.041312
0.388889,-67649.609264,-2821.586428
0.402778,-75394.736917,-206229.914263
0.416667,199164.242904,-96279.564186
0.430556,76143.064141,-61775.508157
0.444444,-175766.365073,498816.046211
0.458333,-177611.302957,62952.646118
0.472222,302300.333294,-359026.012471
0.486111,572188.857743,-186300.271630
0.500000,35310.113154,85494.426816
0.513889,-627333.365844,17586.293894
0.527778,-116868.256473,-108051.304135
0.541667,-60514.562296,29786.151379
0.555556,179197.679920,41085.004833
0.569444,-25698.195202,-164291.765958
0.583333,84267.743572,-466281.609178
0.597222,-78280.629482,-123218.455754
0.611111,-58654.663540,-114165.250721
0.625000,-23235.297902,-122864.680250
0.638889,127145.035396,-138181.313263
0.652778,169521.429603,-150214.167028
0.666667,81578.008109,-40085.428149
0.680556,6268.734659,211241.674997
0.694444,156553.578345,-44116.977603
0.708333,364330.676131,51404.613697
0.722222,274868.726630,-34547.737344
0.736111,91276.992625,-83859.189052
0.750000,-311634.029037,13313.805460
0.763889,-198532.996163,13701.671169
0.777778,-315937.793341,48682.604256
0.791667,191150.973462,-166139.788290
0.805556,341290.984770,-121074.968715
0.819444,151227.041758,-167654.701315
0.833333,-149583.917833,58305.849273
0.847222,-260934.811268,11812.576988
0.861111,78691.112549,10738.049161
0.875000,271677.550929,158510.297713
0.888889,-13024.174417,-66037.695356
0.902778,222933.268397,8577.570888
0.916667,163447.508422,111459.723436
0.930556,258253.205908,48073.626649
0.944444,412178.938077,216177.146766
0.958333,221337.088628,45902.842472
0.972222,-43223.266456,-10703.874579
0.986111,-150136.378468,-48906.112275
1.000000,-120094.988882,65219.898527
1.013889,50403.783271,212708.643200
1.027778,227116.533160,203289.537690
1.041667,152718.686152,81444.053874
1.055556,119583.575244,37448.803606
1.069444,-204269.737052,-43310.498872
1.083333,-196892.458636,-147510.214197
1.097222,166807.054675,3582.181484
1.111111,139788.693158,178228.229456
1.125000,-5501.549930,269464.560885
1.138889,-185153.992076,190867.582619
1.152778,-266586.112235,6574.312727
1.166667,67789.990633,8980.430203
1.180556,14967.203601,135690.160543
1.194444,-148987.756174,-200087.335340
1.208333,-182972.686149,40173.765131
1.222222,-423011.774463,-193768.379519
1.236111,-208000.605324,-161171.748933
1.250000,-111008.564377,111306.444419
1.263889,85975.393296,67568.166303
1.277778,-19708.822609,-35154.186611
1.291667,30019.283240,-157625.470843
1.305556,-291871.977713,-162247.299424
1.319444,-205093.807509,-67587.328645
1.333333,-201118.422643,-129943.586159
1.347222,-89936.949988,5531.170820
1.361111,27329.940279,-54634.512648
1.375000,4578.881092,-227492.983298
1.388889,-75783.302585,-139153.341565
1.402778,-237535.443328,-13051.974565
1.416667,244149.321100,-291287.489400
1.430556,233021.899640,110935.819506
1.444444,-140111.318349,-31392.052103
1.458333,-19400.447898,-170303.034062
1.472222,27524.289399,21967.807155
1.486111,275592.549629,117963.637163
1.500000,111095.491330,206498.352474
1.513889,112344.403991,-40220.128935
1.527778,27587.979332,-275277.515524
1.541667,105935.311964,-220240.904462
1.555556,-104632.058134,63108.046721
1.569444,-155841.584793,-9170.682107
1.583333,-3443.037506,-74230.729827
1.597222,305088.382999,-52943.371472
1.611111,85743.368513,-9287.600894
1.625000,66729.578306,-136141.678522
1.638889,-12757.411791,4877.007598
1.652778,186679.619593,41672.530124
1.666667,101211.474126,297239.361895
1.680556,-163334.052285,174534.506885
1.694444,-229077.681103,-337360.884134
1.708333,353840.558894,1316.945699
1.722222,84688.060242,365492.463928
1.736111,-3109.716696,143859.161530
1.750000,-143997.217606,-199452.463071
1.763889,316154.533027,-328942.323815
1.777778,-28398.634610,270445.113712
1.791667,-246568.384025,-156300.298029
1.805556,108816.994462,113402.171539
1.819444,206526.024327,257705.953060
1.833333,215677.724799,365735.213652
1.847222,-99120.126088,226597.991836
1.861111,100707.439705,24377.203022
1.875000,-26251.834324,31039.080538
1.888889,-91734.611839,280951.771783
1.902778,-196959.029525,79189.626680
1.916667,86051.524887,-73854.279291
1.930556,-8637.638217,86464.874544
1.944444,-206359.634653,114351.546580
1.958333,-27787.891669,131594.561958
1.972222,79101.019435,250150.458424
1.986111,30607.538726,63441.119364
2.000000,-82300.129390,-110384.336866
2.013889,-107031.798534,-116881.425451
2.027778,57564.400445,43299.825179
2.041667,-227360.708256,151558.912701
2.055556,95445.404497,71810.349041
2.069444,220953.477974,-60825.877378
2.083333,170283.681671,97691.397143
2.097222,-52000.492271,95687.275236
2.111111,-315449.570450,-56827.019168
2.125000,-227601.978152,-98997.171851
2.138889,-100119.321782,-130048.750915
2.152778,-111879.380390,112128.436180
2.166667,-164659.611703,-169881.280289
2.180556,120702.452135,-292426.679351
2.194444,159941.288078,133362.925772
2.208333,-57619.635003,41018.278247
2.222222,-37121.130764,-155705.390548
2.236111,153145.761880,-208450.624227
2.250000,293445.869290,-121489.195452
2.263889,-322120.989443,134554.867110
2.277778,-182668.682539,-82039.483700
2.291667,65950.303770,-219471.936927
2.305556,334304.055929,-3529.767521
2.319444,101262.258116,169043.339406
2.333333,-112095.883236,-35571.377371
2.347222,5701.768503,-91067.418439
2.361111,70252.393634,-17250.355216
2.375000,-35950.150377,58437.065853
2.388889,-137054.537989,17589.514241
2.402778,143123.271349,-36174.878089
2.416667,244727.930781,129918.917423
2.430556,-45053.364660,135065.169617
2.444444,54290.596299,-246834.921749
2.458333,125393.304520,-208548.907901
2.472222,316297.014298,51032.164803
2.486111,-36469.466402,48000.879953
2.500000,-146310.415766,-70970.725343
2.513889,-17265.533339,25105.073161
2.527778,136270.271929,97431.574631
2.541667,135644.479125,110707.045118
2.555556,55749.645688,-20439.552914
2.569444,-49963.328674,-33846.141442
2.583333,-31345.665100,41096.850181
2.597222,-166701.329431,9245.056247
2.611111,34856.329316,-89108.847766
2.625000,114121.295021,41293.575212
2.638889,183575.390794,62208.273436
2.652778,-161298.237584,163176.389297
2.666667,21549.995061,-71180.345242
2.680556,67208.008713,-75327.785740
2.694444,-31452.407857,-41650.661885
2.708333,-177667.098723,19518.683268
2.722222,-160232.581617,-70375.502969
2.736111,36587.100294,122267.452165
2.750000,-148621.243967,14684.457024
2.763889,-65594.005706,88222.080983
2.777778,-44517.971597,20281.231277
2.791667,68176.071464,56315.947399
2.805556,-111693.787723,53882.956743
2.819444,-229691.709417,-143506.418379
2.833333,-113357.495435,-83224.331519
2.847222,-1599.569081,2962.622073
2.861111,-26478.081001,146576.939555
2.875000,-154696.291824,108641.351461
2.888889,-63069.832555,-75311.020517
2.902778,-25742.063225,-98339.846100
2.916667,44750.009126,-142250.858666
2.930556,-117751.550072,-206500.077624
2.944444,6053.847403,-75055.105579
2.958333,-91495.315566,58390.133841
2.972222,-128369.058180,-43583.894499
2.986111,-1842.098308,-186348.647727
3.000000,190818.064780,-141402.869342
3.013889,136571.173613,18495.577926
3.027778,-84189.244223,3114.739731
3.041667,1472.769434,-54120.187914
3.055556,-95429.667997,-148133.820347
3.069444,-133468.210839,-155331.119994
3.083333,33922.685272,36925.087704
3.097222,-85084.175553,58261.555228
3.111111,6482.856767,-67636.786464
3.125000,103521.735940,-118962.698494
3.138889,66068.474885,-43838.151806
3.152778,138887.017676,-12005.315668
3.166667,-20104.860093,21742.182002
3.180556,-70658.444457,-52789.444239
3.194444,-40917.301078,-66187.505832
3.208333,103400.251354,-52195.172638
3.222222,236686.846552,28177.973460
3.236111,173050.617256,75576.361391
3.250000,67293.880426,-17262.948159
3.263889,16902.096387,81572.949606
3.277778,-9170.678547,8967.289426
3.291667,129119.891901,-94759.686943
3.305556,82343.980572,66334.613044
3.319444,43906.169446,175611.208563
3.333333,-137711.638268,205724.273686
3.347222,-117516.102367,4446.829688
3.361111,159324.548590,-59594.806044
3.375000,166958.990377,49965.930044
3.388889,-34724.598585,101123.187452
3.402778,-67097.840265,-41729.209254
3.416667,129932.187158,128668.990783
3.430556,-98558.910908,188410.875377
3.444444,-115506.009922,40867.568414
3.458333,109163.614554,114388.670715
3.472222,135829.769306,17741.764337
3.486111,92265.576289,85902.148972
3.500000,-160571.805394,49835.473152
3.513889,-155018.433982,21441.207433
3.527778,-8433.407974,56268.946565
3.541667,64606.504915,119064.938974
3.555556,-80210.634156,10353.720023
3.569444,-51332.918439,-16747.408550
3.583333,-14545.408033,113125.245172
3.597222,-38438.750474,93449.683593
3.611111,-58550.954315,28473.196845
3.625000,20817.868732,-85888.108932
3.638889,-61616.587103,-21875.711505
3.652778,-167170.383210,27958.692236
3.666667,-34953.186275,37346.006054
3.680556,109831.978275,47215.912870
3.694444,68572.321821,172278.500822
3.708333,-83298.728429,30329.346696
3.722222,-45486.448689,-69275.288712
3.736111,-44462.925858,-146020.262363
3.750000,-92242.706170,-67108.779717
3.763889,-36761.989359,-128681.068357
3.777778,-13716.684274,12926.890123
3.791667,-5105.588688,24310.137272
3.805556,-89033.060173,-108190.142456
3.819444,-42776.177704,-61631.002082
3.833333,40646.130169,-99374.689318
3.847222,205255.393944,32041.492569
3.861111,5105.912238,37118.935469
3.875000,-174468.984092,-72426.621371
3.888889,-44748.513157,-141149.727926
3.902778,103278.293655,-40287.271959
3.916667,98012.907144,113335.007947
3.930556,77108.170001,11927.837923
3.944444,84888.658504,-149994.019011
3.958333,4407.489122,-11654.533815
3.972222,-114758.686262,-45900.573236
3.986111,-16237.591204,-52463.888515
4.000000,29790.049284,-53591.428990
4.013889,66501.366258,23106.600944
4.027778,-11765.724143,150113.960858
4.041667,59810.002705,-102938.026891
4.055556,114025.952244,-152832.604808
4.069444,163532.040628,-39803.503728
4.083333,26234.153011,157655.532293
4.097222,-4587.144557,92481.796097
4.111111,37226.903108,-41600.106857
4.125000,17778.494401,-33525.827091
4.138889,-27455.158529,15562.007428
4.152778,-11469.932452,95576.435495
4.166667,120409.718592,105365.613059
4.180556,142434.748842,17354.458343
4.194444,72049.285749,9644.770691
4.208333,-77805.944219,-61726.639776
4.222222,7618.210234,32717.412447
4.236111,-5778.987741,128654.750707
4.250000,-27533.835544,206717.317357
4.263889,-28896.446070,13508.324593
4.277778,49705.223745,-24126.277015
4.291667,-62308.324392,-10144.517364
4.305556,-86660.952648,1026.204244
4.319444,-22413.293710,-19858.028117
4.333333,10350.778209,73193.667818
4.347222,-40914.513255,-2146.722845
4.361111,-91857.055916,-76848.734262
4.375000,-63394.392580,-24049.661824
4.388889,49901.987259,212282.927095
4.402778,-99901.502535,121693.775042
4.416667,-61216.428954,-129290.516185
4.430556,-53842.175893,-132138.502390
4.444444,4830.827731,-46099.826940
4.458333,-151983.929734,72533.835627
4.472222,-158592.281379,74922.123370
4.486111,-6557.013220,-3667.932701
4.500000,47596.875233,-67447.240411
4.513889,-14980.907474,1547.617943
4.527778,-106718.000261,-114467.067221
4.541667,12753.132880,-162491.191682
4.555556,30443.572981,35969.934416
4.569444,-50783.773346,1216.258295
4.583333,-23210.778649,-94216.093265
4.597222,13937.606917,-169579.471230
4.611111,60023.112346,-620.896184
4.625000,-60389.809394,102466.889499
4.638889,-35478.270532,-4391.292084
4.652778,100486.617359,-123590.192674
4.666667,88356.068117,-108189.785189
4.680556,-22960.997511,-115727.320448
4.694444,-84551.778280,-53007.370726
4.708333,19042.293049,42852.188951
4.722222,22638.218523,98899.087105
4.736111,118928.817893,71900.846768
4.750000,82518.029325,-12214.588807
4.763889,50141.480689,-67478.944168
4.777778,40904.312075,51290.564806
4.791667,-61566.787515,16413.474102
4.805556,61619.622571,-39247.545150
4.819444,32309.068566,-14673.424337
4.833333,107653.213851,-10004.226344
4.847222,37072.979939,51733.017766
4.861111,-7678.181395,66371.730651
4.875000,24433.195537,21516.608379
4.888889,29116.781482,39212.344868
4.902778,56566.941412,-19690.101381
4.916667,3825.250609,-33518.144444
4.930556,-42359.053788,-16536.452560
